https://2020.pycon.org.au/program/sun/
ID   | Char | CharCount | URL
7    | 'c'  | 8         | https://en.wikipedia.org/wiki/Category:Agent-oriented_programming_languages 
8    | 'e'  | 244       | https://en.wikipedia.org/wiki/OpenQASM 
9    | 's'  | 99        | https://en.wikipedia.org/wiki/Category:Procedural_programming_languages 
10   | 's'  | 253       | https://en.wikipedia.org/wiki/Digital_Asset_Modeling_Language 
11   | 'f'  | 15        | https://en.wikipedia.org/wiki/Category:Dependently_typed_languages 
12   | 'u'  | 52        | https://en.wikipedia.org/wiki/General-purpose_programming_language 
13   | 'l'  | 1219      | https://en.wikipedia.org/wiki/Clojure 
14   | 'l'  | 30        | https://en.wikipedia.org/wiki/Category:Esoteric_programming_languages 
15   | 'y'  | 25        | https://en.wikipedia.org/wiki/GLOBAL 

------

ID   | Char | CharCount | URL
0    | 'P'  | 93        | https://en.wikipedia.org/wiki/Jolie_(programming_language) 
1    | 'y'  | 5         | https://en.wikipedia.org/wiki/Category:Set_theoretic_programming_languages 
2    | 't'  | 33        | https://en.wikipedia.org/wiki/Category:Formula_manipulation_languages 
3    | 'h'  | 474       | https://en.wikipedia.org/wiki/Nim_(programming_language) 
4    | 'o'  | 149       | https://en.wikipedia.org/wiki/MiniKanren 
5    | 'n'  | 34        | https://en.wikipedia.org/wiki/Category:Object-based_programming_languages 
6    | ' '  | 781       | https://en.wikipedia.org/wiki/Deductive_language 
7    | '3'  | 2         | https://en.wikipedia.org/wiki/Category:Esoteric_programming_languages 

------

ID   | Char | CharCount | URL
0    | 'A'  | 633       | https://en.wikipedia.org/wiki/Kinetic_Rule_Language 
1    | 'b'  | 0         | https://en.wikipedia.org/wiki/Category:Process_termination_functions 
2    | 'i'  | 133       | https://en.wikipedia.org/wiki/Real-time_Programming_Language 
3    | 'd'  | 1271      | https://en.wikipedia.org/wiki/BASIC 
4    | 'e'  | 45        | https://en.wikipedia.org/wiki/Category:XML-based_programming_languages 
5    | ' '  | 208       | https://en.wikipedia.org/wiki/Behavioral_Description_Language 
6    | 'b'  | 106       | https://en.wikipedia.org/wiki/K_(programming_language) 
7    | 'y'  | 13        | https://en.wikipedia.org/wiki/Category:High-level_programming_languages 
8    | ' '  | 6673      | https://en.wikipedia.org/wiki/AppleScript 
9    | 't'  | 24        | https://en.wikipedia.org/wiki/Category:Reactive_programming_languages 
10   | 'h'  | 12        | https://en.wikipedia.org/wiki/Category:Programming_languages_conferences 
11   | 'e'  | 530       | https://en.wikipedia.org/wiki/Gosling_Emacs#Extension_language 
12   | ' '  | 54        | https://en.wikipedia.org/wiki/Category:Discontinued_programming_languages 
13   | 'C'  | 57        | https://en.wikipedia.org/wiki/Behavioral_Description_Language 
14   | 'o'  | 20        | https://en.wikipedia.org/wiki/Category:Reactive_programming_languages 
15   | 'd'  | 766       | https://en.wikipedia.org/wiki/Kotlin_(programming_language) 
16   | 'e'  | 423       | https://en.wikipedia.org/wiki/Digital_Asset_Modeling_Language 
17   | ' '  | 125       | https://en.wikipedia.org/wiki/KOMPILER 
